timestep,mean_return,win_rate,push_rate,loss_rate,entropy
20000,-0.11,0.4053,0.0794,0.5153,-0.5708
40000,-0.0434,0.4269,0.1027,0.4703,-0.3067
60000,-0.0654,0.4231,0.0883,0.4886,-0.2522
80000,-0.0305,0.4273,0.1148,0.4578,-0.1945
100000,-0.0593,0.4193,0.1022,0.4785,-0.1441
120000,-0.0748,0.4198,0.0855,0.4947,-0.1259
140000,-0.0657,0.4128,0.1086,0.4786,-0.13
160000,-0.0442,0.4299,0.096,0.4741,-0.1213
180000,0.0106,0.457,0.0965,0.4465,-0.1075
200000,-0.0104,0.4607,0.0681,0.4711,-0.0998
220000,0.0204,0.4657,0.0891,0.4453,-0.1012
240000,-0.0471,0.4243,0.1043,0.4714,-0.0966
260000,-0.0327,0.4324,0.1024,0.4651,-0.1054
280000,-0.0187,0.4547,0.0719,0.4734,-0.1155
300000,-0.0196,0.4468,0.0868,0.4664,-0.1068
320000,0.0283,0.4674,0.0935,0.4391,-0.118
340000,0.0,0.4537,0.0927,0.4537,-0.0857
360000,-0.0458,0.432,0.0901,0.4778,-0.1074
380000,-0.046,0.4288,0.0964,0.4748,-0.1057
400000,-0.0916,0.4163,0.0758,0.5079,-0.0917
420000,0.0097,0.4537,0.1024,0.444,-0.0994
440000,0.0172,0.4685,0.0802,0.4513,-0.0886
460000,-0.043,0.4392,0.0786,0.4822,-0.1007
480000,-0.0235,0.4461,0.0843,0.4696,-0.1097
500000,-0.0042,0.4543,0.0873,0.4584,-0.0961
520000,-0.0225,0.4465,0.0845,0.469,-0.0945
540000,-0.0532,0.4272,0.0924,0.4804,-0.0969
560000,-0.0201,0.4468,0.0862,0.467,-0.0962
580000,-0.0214,0.4501,0.0783,0.4715,-0.0845
600000,0.0086,0.4593,0.0899,0.4508,-0.0701
620000,0.0591,0.4874,0.0842,0.4284,-0.0711
640000,0.0057,0.4523,0.101,0.4467,-0.0711
660000,-0.0677,0.4197,0.0928,0.4875,-0.0767
680000,0.0189,0.4615,0.0958,0.4427,-0.0908
700000,-0.0751,0.4212,0.0825,0.4963,-0.0857
720000,0.0141,0.4675,0.0791,0.4534,-0.0791
740000,0.0259,0.4741,0.0776,0.4483,-0.073
760000,0.0275,0.4674,0.0926,0.4399,-0.08
780000,-0.0015,0.4527,0.0932,0.4541,-0.0841
800000,0.0648,0.491,0.0828,0.4262,-0.0912
820000,-0.0565,0.4309,0.0817,0.4874,-0.0869
840000,0.0,0.4577,0.0845,0.4577,-0.0868
860000,-0.012,0.4565,0.0751,0.4685,-0.0872
880000,-0.0248,0.4373,0.1006,0.4621,-0.0855
900000,-0.0293,0.4319,0.1069,0.4612,-0.0841
920000,0.01,0.4685,0.0731,0.4585,-0.0844
940000,-0.0261,0.4393,0.0952,0.4654,-0.0818
960000,-0.024,0.4393,0.0975,0.4633,-0.075
980000,-0.0137,0.4414,0.1035,0.4551,-0.0751
1000000,0.0345,0.482,0.0706,0.4474,-0.0827
